group,year,date,venue,organizer,title,author,discussant,session,start,end,link
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Adverse Selection in Insurance Markets: Policyholder Evidence from the U.K. Annuity Market,"AMY FINKELSTEIN, MIT; JAMES POTERBA, MIT and NBER",,,"JULY 31, 1:00 PM","JULY 31, 5:00 PM",http://www.nber.org/~confer/2000/si2000/poterba.pdf
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Using ESPlanner to Study Saving and Insurance Adequacy Break,"LAURENCE KOTLIKOFF, Boston University and NBER",,,"JULY 31, 1:00 PM","JULY 31, 5:00 PM",
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Hyperbolic Discounting: Consumption and Savings over the Lifecycle,"MARIOS ANGELETOS, Harvard University; DAVID LAIBSON, Harvard University and NBER; ANDREA REPETTO, Universidad de Chile; JEREMY TOBACMAN, Harvard University; STEPHEN WEINBERG, Harvard University",,,"JULY 31, 1:00 PM","JULY 31, 5:00 PM",
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,The Impact of 401(K) Plans on Retirement,"LEORA FRIEDBERG, UC, San Diego and NBER; ANTHONY WEBB, UC, San Diego",,,"JULY 31, 1:00 PM","JULY 31, 5:00 PM",
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Cognition and Wealth: The Importance of Precision in Probabilistic Thinking,"LEE LILLARD, University of Michigan; ROBERT WILLIS, University of Michigan",,,"AUGUST 1, 9:00 AM","AUGUST 1, 12:15 PM",http://www.nber.org/~confer/2000/si2000/willis.pdf
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Testing Parental Altruism: Implications of a Dynamic Model,"KATHLEEN MCGARRY, UC, Los Angeles and NBER",,,"AUGUST 1, 9:00 AM","AUGUST 1, 12:15 PM",http://www.nber.org/~confer/2000/si2000/mcgarry.pdf
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Income Security Programs and Retirement in Canada,"MICHAEL BAKER, University of Toronto and NBER; JONATHAN GRUBER, MIT and NBER",,,"AUGUST 1, 9:00 AM","AUGUST 1, 12:15 PM",http://www.nber.org/~confer/2000/si2000/baker.pdf
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Social Security and Well-Being: Evidence from the Russian Pension Crisis,"ROBERT JENSEN, Harvard University and NBER; KASPAR RICHTER, London School of Economics",,,"AUGUST 1, 1:15 PM","AUGUST 1, 5:00 PM",
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,Opting Out of Social Security - Incentives and Participation in the German PAYG Pension System,"REINHOLD SCHNABEL, University of Mannheim",,,"AUGUST 1, 1:15 PM","AUGUST 1, 5:00 PM",
AG,2000,"July 31 - Aug 1, 2000",Royal Sonesta Hotel,David Wise,"Social Insurance at the End of Life Cycle: A Joint Model of Unemployment, Disability, Old-Age and Medicare Benefits","HUGO BENITEZ-SILVA, Yale University; MOSHE BUCHINSKY, Yale University; HIU MAN CHAN, Yale University; JOHN RUST, Yale University and NBERM; SOFIA SHEIDVASSER, Yale University",,,"AUGUST 1, 1:15 PM","AUGUST 1, 5:00 PM",
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,"Consumption, Aggregate Wealth and Expected Stock Returns","MARTIN LETTAU, Federal Reserve Bank of New York; SYDNEY LUDVIGSON, Federal Reserve Bank of New York","MICHAEL COOPER, Purdue University",,"JULY 18, 1:00 PM","JULY 18, 2:00 PM",http://www.ny.frb.org/rmaghome/staff_rp/sr77.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Spurious Regressions in Financial Economics?,"WAYNE FERSON, University of Washington and NBER; SERGEI SARKISSIAN, McGill University; TIMOTHY SIMIN, University of Washington","FRANK DIEBOLD, New York University and NBER",,"JULY 18, 2:15 PM","JULY 18, 3:15 PM",http://www.nber.org/~confer/2000/si2000/ferson.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Momentum Profits and the Autocorrelation of Returns,"JONATHAN LEWELLEN, MIT","MATTHEW RICHARDSON, New York University and NBER",,"JULY 19, 1:00 PM","JULY 19, 2:00 PM",http://www.nber.org/~confer/2000/si2000/lewellen.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Labor Income and Predictable Stock Returns,"TANO SANTOS, University of Chicago; PIETRO VERONESI, University of Chicago","MARTIN LETTAU, Federal Reserve Bank of New York",,"JULY 19, 2:15 PM","JULY 19, 3:15 PM",http://www.nber.org/~confer/2000/si2000/santosveronesi.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Expectations Hypotheses Tests,"GEERT BEKAERT, Columbia University, NBER; ROBERT HODRICK, Columbia University, NBER","FREDERICO BANDI, University of Chicago",,"JULY 19, 1:00 PM","JULY 19, 2:00 PM",http://papers.nber.org/papers/W7609.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Risks for the Long Run: A Resolution of Asset Pricing Puzzles,"AMIR YARON, University of Pennsylvania and NBER; RAVI BANSAL, Duke University","JOHN HEATON, University of Chicago and NBER",,"JULY 19, 2:15 PM","JULY 19, 3:15 PM",http://www.nber.org/~confer/2000/si2000/yaron.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,The Value Spread,"RANDOLPH COHEN, Harvard University; CHRISTOPHER POLK KELLOGG, Northwestern University; TUOMO VUOLTEENAHO, University of Chicago","MARIA VASSALOU, Columbia University",,"JULY 20, 9:00 AM","JULY 20, 10:00 AM",http://www.kellogg.nwu.edu/faculty/polk/research/valuespread.pdf
AP,2000,"July 18 - 21, 2000",Royal Sonesta Hotel,John Cochrane,Evaluating and Investing in Equity Mutual Funds,"LUBOS PASTOR, University of Chicago; ROBERT STAMBAUGH, University of Pennsylvania and NBER","WAYNE FERSON, University of Washington and NBER",,"JULY 20, 10:15 AM","JULY 20, 11:15 AM",http://gsbwww.uchicago.edu/fac/lubos.pastor/research/eval3.pdf
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Industrial Country Regulation and Lending to Emerging Markets,"PETER GARBER, Deutsche Bank and NBER",,,"JULY 20, 1:15 PM","JULY 20, 1:30 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Behavior of International Investors in Emerging Markets: Price Pressure and the Information Value of Cross-Border Flows,"KENNETH FROOT, Harvard University and NBER",,,"JULY 20, 1:30 PM","JULY 20, 1:45 PM",
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,What Hurts Most?: G-3 Exchange Rate or Interest Rate Volatility?,"CARMEN REINHART, University of Maryland and NBER; VINCE REINHART, Federal Reserve Board",,,"JULY 20, 1:45 PM","JULY 20, 2:00 PM",http://www.nber.org/~confer/2000/si2000/reinhart.pdf
CCDF,2000,"July 20, 2000",Royal Sonesta Hotel,Michael Dooley; Jeffrey Frankel,Interest Rates and Exchange Rates in the Korean Exchange Rate Crisis,"KENNETH WEST, University of Wisconsin-Madison and NBER; DONGCHUL CHO, Korea Development Institute",,,"JULY 20, 2:15 PM","JULY 20, 2:30 PM",
