DATE: July 26- 27, 2007
VENUE: Royal Sonesta Hotel
ORGANIZER: Ernst Berndt; David Cutler; Alan M. Garber
JOINT: Health Care/Productivity/Aging

TITLE: The Economics of Treatment Disparities in Healthcare
TIME: JULY 26, 9:00 am
AUTHOR: AMITABH CHANDRA, Harvard University and NBER;
DOUGLAS STAIGER, Dartmouth College and NBER

BREAK: JULY 26, 9:50 am

TITLE: The Cost of Quality in Hospitals:  A Revealed-Preference Approach
TIME: JULY 26, 10:05 am
AUTHOR: DANA GOLDMAN , RAND Corporation and NBER;
JOHN A. ROMLEY, RAND Corporation
LINK: https://conference.nber.org/conferences/2007/si2007/HC/romley.pdf

TITLE: The Welfare Effects of Public Drug Insurance
TIME: JULY 26, 10:55 am
AUTHOR: DARIUS LAKDAWALLA, RAND Corporation and NBER; NEERAJ SOOD, RAND Corporation and NBER
LINK: https://conference.nber.org/conferences/2007/si2007/HC/sood.pdf

LUNCH: JULY 26, 12:00 pm

DISCUSSION: Panel of Speakers
TIME: JULY 26, 1:00 pm

BREAK: JULY 26, 1:50 pm

TITLE: The Effect of Chemotherapy Innovation on Cancer Survival, 1991-2003:  State-level Evidence from the SEER-Medicare Linked Database
TIME: JULY 26, 2:05 pm
AUTHOR: FRANK R. LICHTENBERG, Columbia University and NBER
LINK: https://conference.nber.org/conferences/2007/si2007/HC/lichtenberg.pdf

BREAK: JULY 26, 2:55 pm

TITLE: How Much Uncompensated Care Do Doctors Provide?
TIME: JULY 26, 3:10 pm
AUTHOR: JONATHAN GRUBER, MIT and NBER;
DAVID RODRIGUEZ, MIT

ADJOURN: JULY 26, 4:00 pm

TITLE: Toward an Efficient Mechanism for Prescription Drug Procurement
TIME: JULY 27, 9:00 am
AUTHOR: KYNA FONG, Stanford University;
MICHAEL SCHWARZ, Yahoo! Research and NBER
LINK: https://conference.nber.org/conferences/2007/si2007/HC/fong.pdf

BREAK: JULY 27, 9:50 am

TITLE: Are Health Insurance Markets Competitive?  A Test of Direct Price Discrimination
TIME: JULY 27, 10:05 am
AUTHOR: LEEMORE DAFNY, Northwestern University and NBER
LINK: https://conference.nber.org/conferences/2007/si2007/HC/dafney.pdf

BREAK: JULY 27, 10:55 am

TITLE: Choice, Price Competition and Complexity in Markets for Health Insurance
TIME: JULY 27, 11:10 am
AUTHOR: RICHARD G. FRANK, Harvard University and NBER;
KARINE LAMIRAUD, University of Lausanne
LINK: https://conference.nber.org/conferences/2007/si2007/HC/frank.pdf

TITLE: Provider Monitoring and Pay-for-Performance When Multiple Providers Affect Outcomes: An Application to Renal Dialysis
TIME: JULY 27, 12:00 pm
AUTHOR: RICHARD HIRTH, University  of Michigan; MARC TURENNE, University  of Michigan; JACK WHEELER, University  of Michigan; QING PAN, University  of Michigan; JOSEPH MESSANA, University  of Michigan

ADJOURN: JULY 27, 1:00 pm

